id,keyword,start_time,end_time
2,65,2020-07-18,2020-12-06
2,11,2020-01-28,2020-07-26
4,20,2020-08-01,2020-12-25
4,6,2020-01-17,2020-05-28
4,32,2020-08-14,2020-12-12
4,8,2020-07-08,2020-12-24
8,45,2020-05-13,2020-09-07
8,6,2020-01-08,2020-01-21
8,60,2020-04-25,2020-07-05
8,20,2020-03-25,2020-07-08
8,69,2020-02-19,2020-11-08
14,61,2020-09-09,2020-11-22
14,46,2020-03-25,2020-07-14
14,3,2020-03-15,2020-07-08
14,34,2020-06-29,2020-08-30
14,65,2020-08-20,2020-09-17
14,30,2020-06-12,2020-09-21
14,65,2020-03-19,2020-05-19
14,22,2020-04-18,2020-11-02
14,34,2020-05-02,2020-12-14
14,49,2020-07-14,2020-07-15
14,26,2020-01-21,2020-08-11
14,1,2020-07-22,2020-11-08
14,63,2020-04-21,2020-06-27
14,12,2020-08-15,2020-09-16
14,29,2020-06-01,2020-09-17
18,21,2020-03-29,2020-11-19
18,22,2020-03-08,2020-05-10
18,21,2020-03-02,2020-09-19
18,20,2020-05-09,2020-06-02
21,8,2020-02-02,2020-02-24
21,52,2020-04-29,2020-05-18
21,60,2020-09-22,2020-12-14
21,38,2020-02-07,2020-10-14
21,51,2020-02-21,2020-11-28
21,65,2020-04-05,2020-08-21
21,14,2020-01-29,2020-04-17
21,0,2020-03-06,2020-04-28
21,70,2020-02-07,2020-03-01
21,36,2020-02-20,2020-09-19
21,8,2020-09-16,2020-11-23
24,16,2020-04-13,2020-10-20
24,18,2020-01-13,2020-12-21
24,48,2020-03-17,2020-12-17
24,68,2020-02-07,2020-07-18
24,74,2020-06-05,2020-07-19
24,9,2020-02-26,2020-05-18
24,46,2020-07-17,2020-12-26
24,6,2020-03-29,2020-07-04
24,62,2020-09-27,2020-12-06
24,34,2020-04-27,2020-07-10
24,3,2020-09-15,2020-11-15
24,5,2020-02-28,2020-09-29
24,55,2020-07-31,2020-10-15
24,62,2020-07-07,2020-10-21
25,33,2020-04-08,2020-12-11
25,35,2020-04-15,2020-08-18
25,33,2020-02-25,2020-09-01
25,11,2020-02-15,2020-04-15
25,59,2020-01-26,2020-05-29
25,15,2020-01-03,2020-03-23
26,28,2020-09-16,2020-09-23
26,24,2020-05-11,2020-05-31
26,70,2020-03-13,2020-04-18
26,68,2020-08-16,2020-10-29
26,44,2020-03-24,2020-12-30
26,7,2020-06-15,2020-12-07
26,12,2020-07-19,2020-07-24
26,73,2020-02-23,2020-03-01
26,74,2020-11-01,2020-12-25
26,66,2020-02-24,2020-09-20
34,4,2020-11-26,2020-12-04
34,28,2020-08-19,2020-12-05
34,15,2020-08-22,2020-12-01
34,21,2020-01-08,2020-08-07
34,65,2020-07-25,2020-07-27
34,75,2020-05-22,2020-09-09
34,28,2020-09-11,2020-11-26
34,44,2020-03-29,2020-06-27
34,20,2020-06-14,2020-12-14
34,70,2020-05-13,2020-08-07
34,54,2020-02-26,2020-04-03
39,18,2020-04-16,2020-11-16
43,45,2020-10-10,2020-12-08
43,42,2020-07-08,2020-08-30
43,51,2020-01-13,2020-08-15
43,26,2020-10-01,2020-10-03
43,28,2020-01-16,2020-10-12
43,64,2020-06-29,2020-08-01
43,17,2020-02-07,2020-12-13
43,53,2020-06-21,2020-06-27
