user,poi
2.0,40391
2.0,34111
2.0,101342
2.0,24361
2.0,2755
2.0,103483
2.0,101518
2.0,3967
2.0,15753
2.0,9865
2.0,82402
4.0,38428
4.0,24240
4.0,97277
4.0,33112
4.0,30000
4.0,1166
4.0,21599
4.0,52010
4.0,88291
4.0,15430
4.0,41473
4.0,11440
4.0,73745
4.0,69837
4.0,41878
4.0,63729
4.0,62433
4.0,3848
4.0,23279
8.0,43984
8.0,68280
8.0,62580
8.0,63218
8.0,97495
8.0,42931
8.0,102587
8.0,52668
8.0,60351
8.0,31257
8.0,87430
8.0,97516
8.0,26033
8.0,86023
14.0,91395
14.0,84823
14.0,78826
14.0,61051
14.0,35874
14.0,62729
14.0,74062
14.0,53557
14.0,92472
14.0,4140
14.0,48495
14.0,43596
14.0,82771
14.0,35948
14.0,7256
14.0,99619
14.0,100905
14.0,28845
18.0,55971
18.0,13308
18.0,44211
18.0,55055
18.0,85869
18.0,31512
18.0,36831
18.0,9121
18.0,86040
18.0,93055
18.0,51548
21.0,75848
21.0,100642
21.0,41917
21.0,46068
21.0,6874
21.0,50636
21.0,31296
21.0,102370
21.0,31169
21.0,11592
21.0,74587
21.0,65383
21.0,19323
21.0,13451
21.0,53239
21.0,39249
21.0,100779
21.0,19163
21.0,86296
24.0,50079
24.0,84652
24.0,76224
24.0,30059
24.0,50574
24.0,28090
24.0,11072
24.0,63186
24.0,54187
24.0,41313
25.0,61994
25.0,83716
25.0,84367
25.0,44744
25.0,16922
25.0,30157
25.0,6971
25.0,66776
25.0,90439
25.0,88619
25.0,96447
25.0,40511
25.0,103233
25.0,69912
25.0,84350
25.0,95796
25.0,53420
26.0,43586
26.0,23128
26.0,87127
26.0,17238
26.0,70003
26.0,25658
26.0,87415
26.0,84387
26.0,83914
26.0,48719
26.0,21033
34.0,54630
34.0,6425
34.0,97049
34.0,100564
34.0,50436
34.0,65479
34.0,92148
34.0,70903
34.0,20907
34.0,40462
34.0,15513
34.0,59779
34.0,94009
34.0,65701
34.0,66508
34.0,66885
34.0,29471
34.0,77704
39.0,94624
39.0,37498
39.0,45367
39.0,71440
39.0,11563
39.0,38706
39.0,8118
39.0,20252
39.0,22090
39.0,6395
39.0,53495
43.0,83781
43.0,19390
43.0,91104
43.0,53013
43.0,39779
43.0,80970
43.0,23115
43.0,43071
43.0,89396
43.0,22326
43.0,73470
43.0,34107
43.0,99294
43.0,25497
53.0,19356
53.0,103964
53.0,29128
53.0,68925
53.0,29745
53.0,101078
53.0,6091
53.0,3912
53.0,32564
53.0,87641
62.0,102969
62.0,1948
62.0,37866
62.0,28845
62.0,15994
62.0,86866
62.0,9952
62.0,1442
62.0,63345
62.0,73852
62.0,58072
62.0,70976
62.0,25784
62.0,74501
62.0,49925
63.0,37192
63.0,88650
63.0,105621
63.0,23256
63.0,30822
63.0,85349
63.0,33194
63.0,40752
63.0,80538
63.0,55121
63.0,9326
63.0,51681
63.0,28596
63.0,44483
63.0,65066
70.0,18787
70.0,100302
70.0,41471
70.0,85005
70.0,14453
70.0,66378
70.0,97052
70.0,27241
70.0,12101
70.0,43840
70.0,85892
73.0,27537
73.0,75399
73.0,39446
73.0,8584
73.0,85098
73.0,99231
73.0,72519
73.0,87796
73.0,67608
73.0,31045
76.0,5161
76.0,66471
76.0,9092
76.0,86664
76.0,16445
76.0,27425
76.0,13251
76.0,59299
76.0,81490
76.0,96577
76.0,48524
76.0,9056
78.0,92202
78.0,97467
78.0,57455
78.0,79308
78.0,25504
78.0,88144
