user_id,keyword_id
2.0,105
2.0,162
2.0,68
2.0,37
2.0,9
2.0,119
2.0,166
2.0,11
2.0,50
2.0,63
2.0,168
2.0,38
2.0,167
2.0,114
2.0,115
2.0,138
2.0,46
2.0,142
2.0,98
2.0,189
4.0,3
4.0,105
4.0,117
4.0,83
4.0,162
4.0,168
4.0,187
4.0,165
4.0,22
4.0,136
4.0,158
4.0,171
4.0,42
4.0,71
4.0,13
4.0,180
4.0,144
4.0,113
4.0,108
4.0,193
8.0,9
8.0,33
8.0,76
8.0,185
8.0,117
8.0,42
8.0,136
8.0,189
8.0,11
8.0,168
8.0,7
8.0,139
8.0,155
8.0,172
8.0,18
8.0,13
8.0,144
8.0,51
8.0,153
8.0,193
14.0,48
14.0,154
14.0,33
14.0,176
14.0,28
14.0,139
14.0,158
14.0,64
14.0,24
14.0,3
14.0,44
14.0,2
14.0,43
14.0,147
14.0,58
14.0,37
14.0,170
14.0,121
14.0,34
14.0,118
18.0,75
18.0,29
18.0,135
18.0,0
18.0,31
18.0,192
18.0,157
18.0,126
18.0,102
18.0,148
18.0,2
18.0,112
18.0,110
18.0,188
18.0,87
18.0,122
18.0,91
18.0,184
18.0,96
18.0,151
21.0,27
21.0,167
21.0,46
21.0,35
21.0,155
21.0,159
21.0,190
21.0,168
21.0,20
21.0,30
21.0,126
21.0,169
21.0,96
21.0,120
21.0,43
21.0,154
21.0,38
21.0,106
21.0,181
21.0,140
24.0,180
24.0,82
24.0,164
24.0,7
24.0,109
24.0,93
24.0,120
24.0,92
24.0,75
24.0,13
24.0,189
24.0,50
24.0,169
24.0,198
24.0,54
24.0,139
24.0,174
24.0,46
24.0,176
24.0,121
25.0,118
25.0,64
25.0,157
25.0,42
25.0,56
25.0,116
25.0,49
25.0,108
25.0,97
25.0,99
25.0,193
25.0,171
25.0,154
25.0,84
25.0,22
25.0,66
25.0,26
25.0,12
25.0,161
25.0,151
26.0,66
26.0,112
26.0,137
26.0,11
26.0,145
26.0,78
26.0,144
26.0,197
26.0,26
26.0,28
26.0,140
26.0,60
26.0,152
26.0,82
26.0,135
