poi_id,poi_category,lat_pos,lon_pos
1,airport,-114.18639,34.30806
2,airport,-114.43083,34.5275
3,airport,-114.52667,33.86944
4,airport,-114.57528,34.18389
5,airport,-114.60194,34.81944
6,airport,-114.60444,33.60361
7,airport,-114.60528,33.59194
8,airport,-114.62306,34.76611
9,airport,-114.64333,33.67917
10,airport,-114.645,33.60389
11,airport,-114.64722,34.91111
12,airport,-114.71667,33.61889
13,airport,-114.95694,34.835
14,airport,-115.11889,34.13417
15,airport,-115.19222,35.28306
16,airport,-115.22,35.09694
17,airport,-115.26722,32.84028
18,airport,-115.32278,33.74861
19,airport,-115.35583,34.55472
20,airport,-115.45056,33.80139
21,airport,-115.51306,32.66944
22,airport,-115.51667,32.99306
23,airport,-115.52167,33.12972
24,airport,-115.52944,32.78889
25,airport,-115.54222,32.9625
26,airport,-115.55472,32.95833
27,airport,-115.55889,32.67333
28,airport,-115.57861,32.83417
29,airport,-115.63667,33.69889
30,airport,-115.71028,33.66528
31,airport,-115.73306,34.88167
32,airport,-115.87389,33.48111
33,airport,-115.92389,33.265
34,airport,-115.94556,34.13194
35,airport,-115.9525,33.24139
36,airport,-115.98917,33.28361
37,airport,-115.9975,34.16
38,airport,-115.99778,34.20611
39,airport,-116.04806,34.16278
40,airport,-116.08194,34.12833
41,airport,-116.0825,35.28528
42,airport,-116.09167,35.3375
43,airport,-116.10306,35.14917
44,airport,-116.13278,33.15
45,airport,-116.15417,34.75306
46,airport,-116.15972,33.62778
47,airport,-116.16472,32.61667
48,airport,-116.23528,33.70694
49,airport,-116.25222,34.15417
50,airport,-116.26944,35.96833
51,airport,-116.27472,33.74833
52,airport,-116.275,34.13472
53,airport,-116.27583,33.19167
54,airport,-116.27639,34.13167
55,airport,-116.29333,32.95
56,airport,-116.32306,33.25972
57,airport,-116.35667,33.235
58,airport,-116.39111,34.27028
59,airport,-116.39583,33.68611
60,airport,-116.40556,33.76583
61,airport,-116.40778,34.12778
62,airport,-116.40917,32.97083
63,airport,-116.41333,34.12611
64,airport,-116.42583,36.29556
65,airport,-116.44139,33.08167
66,airport,-116.45444,33.25583
67,airport,-116.50611,33.82806
68,airport,-116.57472,33.93972
69,airport,-116.57972,34.33722
70,airport,-116.61056,34.42028
71,airport,-116.61694,34.42333
72,airport,-116.6225,34.41444
73,airport,-116.63,35.28222
74,airport,-116.63917,32.63806
75,airport,-116.67472,33.28444
76,airport,-116.67528,34.96139
77,airport,-116.7225,32.765
78,airport,-116.74528,33.14306
79,airport,-116.75194,33.07028
80,airport,-116.78667,34.85361
81,airport,-116.7925,33.17917
82,airport,-116.79667,33.52083
83,airport,-116.8425,33.42778
84,airport,-116.85056,33.92306
85,airport,-116.85444,34.26361
86,airport,-116.88139,36.46361
87,airport,-116.88278,33.59722
88,airport,-116.88333,35.35556
89,airport,-116.88833,35.35028
90,airport,-116.89306,32.63306
91,airport,-116.9125,33.03917
92,airport,-116.92111,32.81111
93,airport,-116.92222,32.75556
94,airport,-116.95917,33.75
95,airport,-116.97222,32.82611
96,airport,-116.97667,33.54444
97,airport,-116.98,32.57222
98,airport,-116.99028,33.32444
99,airport,-116.99667,34.875
100,airport,-116.99667,34.875
101,airport,-116.99806,33.31056
102,airport,-117.00194,33.18611
103,airport,-117.00583,32.77972
104,airport,-117.01833,34.89333
105,airport,-117.0225,33.73389
106,airport,-117.02306,32.61944
107,airport,-117.02639,34.45444
108,airport,-117.05639,32.99806
109,airport,-117.07139,33.50694
110,airport,-117.07361,34.035
111,airport,-117.08056,34.56083
112,airport,-117.08167,32.68389
